"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EHCHCNTX","journalArticle","2023","Xiong, B.; Guo, Y.; Zhang, L.; Li, J.; Liu, X.; Cheng, L.","Optimizing electricity demand scheduling in microgrids using deep reinforcement learning for cost-efficiency","IET Generation, Transmission and Distribution","","17518687 (ISSN)","10.1049/gtd2.12866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160072289&doi=10.1049%2fgtd2.12866&partnerID=40&md5=e4af878262c814fcceabd358bbe82c6a","Renewable energy sources (RES) are increasingly being developed and used to address the energy crisis and protect the environment. However, the large-scale integration of wind and solar energy into the power grid is still challenging and limits the adoption of these new energy sources. Microgrids (MGs) are small-scale power generation and distribution systems that can effectively integrate renewable energy, electric loads, and energy storage systems (ESS). By using MGs, it is possible to consume renewable energy locally and reduce energy losses from long-distance transmission. This paper proposes a deep reinforcement learning (DRL)-based energy management system (EMS) called DRL-MG to process and schedule energy purchase requests from customers in real-time. Specifically, the aim of this paper is to enhance the quality of service (QoS) for customers and reduce their electricity costs by proposing an approach that utilizes a Deep Q-learning Network (DQN) model. The experimental results indicate that the proposed method outperforms commonly used real-time scheduling methods significantly. © 2023 The Authors. IET Generation, Transmission & Distribution published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.","2023","2024-01-24 11:17:47","2024-01-24 11:17:47","","2535-2544","","11","17","","IET Gener. Transm. Distrib.","","","","","","","","English","","","Scopus","","","","Publisher: John Wiley and Sons Inc","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Não se aplica</p> <p><strong>#desc_technique</strong></p> <p>O artigo propõe um sistema de gerenciamento de energia baseado em aprendizagem por reforço profundo , denominado DRL-MG, para processar e programar solicitações de compra de energia de clientes em tempo real utilizando o Processo de Decisão Markov (MDP) para escalonamento de demanda elétrica no sistema.</p> <p><strong>#eligible</strong></p> <p>E1</p> <p><strong>#FIM</strong></p> </div>","","","Cost-efficiency; Costs; Deep learning; distributed algorithms; distributed control; Distributed parameter control systems; Distributed-control; Electric energy storage; Electric loads; Electric power system control; Electric power transmission; Electricity demands; electricity supply industry; Energy crisis; Energy dissipation; Energy management systems; Energy policy; Large-scale integration of wind and solar; Learning systems; Microgrid; Multi agent systems; power control; Power grids; Power quality; Power-control; Quality of service; Reinforcement learning; Reinforcement learnings; Renewable energy source; Sales; Smart power grids; Solar energy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3R7HRMX5","journalArticle","2023","Cardoso, D.; Nunes, D.; Faria, J.; Fael, P.; Gaspar, P.D.","Intelligent Micro-Cogeneration Systems for Residential Grids: A Sustainable Solution for Efficient Energy Management","Energies","","19961073 (ISSN)","10.3390/en16135215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164791779&doi=10.3390%2fen16135215&partnerID=40&md5=447aa93d1855f9ff40b3a05327e4f658","This paper presents an optimization approach for Micro-cogeneration systems with internal combustion engines integrated into residential grids, addressing power demand failures caused by intermittent renewable energy sources. The proposed method leverages machine learning techniques, control strategies, and grid data to improve system flexibility and efficiency in meeting electricity and domestic hot water demands. Historical residential grid data were analysed to develop a machine learning-based demand prediction model for electricity and hot water. Thermal energy storage was integrated into the Micro-cogeneration system to enhance flexibility. An optimization model was created, considering efficiency, emissions, and cost while adapting to real-time demand changes. A control strategy was designed for the flexible operation of the Micro-cogeneration system, addressing excess thermal energy storage and resource allocation. The proposed solution’s effectiveness was validated through simulations, with results demonstrating the Micro-cogeneration system’s ability to efficiently address high electricity and hot water demand periods while mitigating power demand failures from renewable energy sources. The research presents a novel approach with the potential to significantly improve grid resilience, energy efficiency, and renewable energy integration in residential grids, contributing to more sustainable and reliable energy systems. © 2023 by the authors.","2023","2024-01-24 11:17:47","2024-01-24 11:20:45","","","","13","16","","Energies","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Rede Neural Artificial</p> <p><strong>#desc_technique</strong></p> <p>O artigo apresenta uma abordagem de otimização baseado em redes neurais artificiais para sistemas de microcogeração com motores de combustão interna integrados em redes residenciais, abordando falhas na demanda de energia causadas por fontes de energia renováveis ​​intermitentes. </p> <p><strong>#eligible</strong></p> <p>I2</p> <p><strong>#FIM</strong></p> </div>","","","Electric energy storage; Smart power grids; Cogeneration plants; Cogeneration systems; Combustion; control strategies; Control strategies; Digital storage; Electric power utilization; electrical energy; Electrical energy; Energy efficiency; energy management; Energy management; grid flexibility; Grid flexibility; Heat storage; Housing; internal combustion engines; Internal combustion engines; machine learning; Machine learning; Machine-learning; Micro cogeneration; Micro-cogeneration system; micro-cogeneration systems; renewable energy integration; Renewable energy integrations; Renewable energy resources; Residential grid; residential grids; Smart grid; smart grids; thermal energy; Thermal energy; Water; STORAGE; NEURAL-NETWORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6MHFLUU","journalArticle","2023","Mohseni, S.; Pishvaee, M.S.; Dashti, R.","Privacy-preserving energy trading management in networked microgrids via data-driven robust optimization assisted by machine learning","Sustainable Energy, Grids and Networks","","23524677 (ISSN)","10.1016/j.segan.2023.101011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147089242&doi=10.1016%2fj.segan.2023.101011&partnerID=40&md5=6476d2318dee58ab1c5120886feadc25","Trading mechanism design, uncertainty treatment and privacy protection are the main issues in the energy management of networked microgrids (MGs). To address these issues in a comprehensive manner, this paper proposes a data-driven two-level transactive energy management framework, where the upper-level determines the optimal strategies of internal scheduling within MGs and external trading between MGs while the lower-level formulates a Nash bargaining game model for the fair allocation of trading benefits. The uncertainties of renewable energy sources are fully captured by an adjustable data-driven robust optimization approach with an uncertainty set constructed using the robust kernel density estimation (RKDE) as a machine learning technique. The resulting uncertainty set can provide robust scheduling and trading schemes even when the power generation data of wind turbines and photovoltaic systems are contaminated with anomalous samples, whereas conventional sets are not reliable in the case of contaminated data. To preserve the operational independence and information privacy of MGs, the proposed model is solved in a distributed manner by the alternating direction method of multipliers (ADMM) and the augmented Lagrange-based alternating direction inexact Newton (ALADIN) algorithms. ADMM is commonly used in previous studies, but it has low computational efficiency for handling the consensus process among a large number of MGs. This paper applies ADMM and ALADIN to enhance the applicability of the proposed model when the size and complexity of the networks increase. Numerical tests show the effectiveness of the proposed framework and solution methodology in terms of system cost, solution robustness, and convergence speed. © 2023 Elsevier Ltd","2023","2024-01-24 11:17:47","2024-01-24 11:21:31","","","","","34","","Sustain. Energy Grids Netw.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Não se aplica</p> <p><strong>#desc_technique</strong></p> <p>O artigo propõe uma estrutura de gestão de energia transativa de dois níveis, baseada em dados, onde o nível superior determina as estratégias ideais de programação interna dentro dos MGs e de comércio externo entre os MGs, enquanto o nível inferior formula uma Modelo de jogo de barganha de Nash para a alocação justa de benefícios comerciais. </p> <p><strong>#eligible</strong></p> <p>E1</p> <p><strong>#FIM</strong></p> </div>","","","Microgrid; Machine learning; Renewable energy resources; ADMM; Alternating directions method of multipliers; Computational efficiency; Data driven; Data-driven optimization; Distributed optimization; Energy trading; Game theory; Machine design; Microgrids; Nash bargaining game; Optimization; Peer to peer; Peer-to-peer energy trading; Privacy-preserving techniques; Uncertainty; FRAMEWORK; ALGORITHM; DEMAND RESPONSE; DESIGN; DISPATCH; MULTIPLE MICROGRIDS; OPTIMAL OPERATION; OPTIMAL POWER-FLOW; SCHEME; UNCERTAINTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HI8IQJYX","journalArticle","2023","Huang, Y.; Masrur, H.; Lipu, M.S.H.; Howlader, H.O.R.; Gamil, M.M.; Nakadomari, A.; Mandal, P.; Senjyu, T.","Multi-objective optimization of campus microgrid system considering electric vehicle charging load integrated to power grid","Sustainable Cities and Society","","22106707 (ISSN)","10.1016/j.scs.2023.104778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165888181&doi=10.1016%2fj.scs.2023.104778&partnerID=40&md5=c239d475a3aa3b68764a562c837eccfa","The increasing use of renewable energy sources and electric vehicles (EVs) has necessitated changes in the design of microgrids. In order to improve the efficiency and stability of renewable energy sources and energy security in microgrids, this paper proposes an optimal campus microgrid design that includes EV charging load prediction and a constant power support strategy from the main grid. The problem of load variation due to changes in the number of EVs connected to the microgrid will occur, and this paper presents a detailed prediction method and effective solutions. The load profile of EVs connected to the microgrid is simulated using the Monte Carlo (MC) method, taking into account EV owners’ usage habits, including charging options and dwell time, as well as battery parameters, including state of charge (SOC) and size. The simulation results show that the peak-to-valley difference in grid power after adding EVs is close to 14 times due to the uniformity of travel between staff and students. Based on how long EVs stay in the parking place, a charging and discharging policy for participation in grid dispatch is developed, which has reduced the gap between the peak and the valley. This paper gives precedence here for the main grid to provide constant power support, which would limit the electricity consumption of the campus, reduce the dependence on the main grid and moreover increase the utilization of renewable energy by the microgrid. The ideal solution set for this microgrid system model's best configuration is found using the NSGA-II optimization algorithm. To select the most suitable option, the TOPSIS method is employed. The simulation results show that the microgrid system can operate with EV integration in an economical and stable manner. Additionally, the peak-to-valley value and CO2 emissions are reasonably reduced, and the income of EV users is increased. At the same time, the microgrid operator's charging fee for EVs can lower operating costs and also suggests that future microgrid electricity sales will be more accessible and transparent. © 2023 Elsevier Ltd","2023","2024-01-24 11:17:47","2024-01-24 11:17:47","","","","","98","","Sustainable Cities Soc.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Não se aplica</p> <p><strong>#desc_technique</strong></p> <p>O artigo propõe um projeto de microrrede de campus ideal que inclui previsão de carga de carregamento de VE e uma estratégia de suporte de energia constante da rede principal utilizando o método Monte Carlo.</p> <p><strong>#eligible</strong></p> <p>E1</p> <p><strong>#FIM</strong></p> </div>","","","Microgrid; Renewable energy source; Renewable energy resources; alternative energy; Charging (batteries); Charging loads; computer simulation; Distributed energy resources; Distributed Energy Resources; Electric load dispatching; electric vehicle; Electric vehicle charging; Electric vehicles; energy resource; Energy security; Intelligent systems; Landforms; Microgrid design; Microgrid systems; Monte Carlo analysis; Monte Carlo methods; Monte carlo simulation; Monte Carlo's simulation; Multi-objective optimization; Multi-objectives optimization; Multiobjective optimization; Operating costs; optimization; power generation; Secondary batteries; V2G and G2V; Vehicle-to-grid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ETG2J35","journalArticle","2022","Chen, W.; Han, G.; Zhu, H.; Liao, L.","Short-Term Load Forecasting with an Ensemble Model Using Densely Residual Block and Bi-LSTM Based on the Attention Mechanism","Sustainability (Switzerland)","","20711050 (ISSN)","10.3390/su142416433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144893449&doi=10.3390%2fsu142416433&partnerID=40&md5=63175b103a56224a284d1c066b36efec","Short-term load forecasting (STLF) is essential for urban sustainable development. It can further contribute to the stable operation of the smart grid. With the development of renewable energy, improving STLF accuracy has become a vital task. Nevertheless, most models based on the convolutional neural network (CNN) cannot effectively extract the crucial features from input data. The reason is that the fundamental requirement of adopting the convolutional neural network (CNN) is space invariance, which cannot be satisfied by the received data, limiting the forecasting performance. Thus, this paper proposes an innovative ensemble model that comprises a densely residual block (DRB), bidirectional long short-term memory (Bi-LSTM) layers based on the attention mechanism, and ensemble thinking. Specifically, the DRB is adopted to extract the potential high-dimensional features from different types of data, such as multi-scale load data, temperature data, and calendar data. The extracted features are the input of the Bi-LSTM layer. Then, the adopted attention mechanism can assign various weights to the hidden state of Bi-LSTM and focus on the crucial factors. Finally, the proposed two-stage ensemble thinking can further improve model generalization. The experimental results show that the proposed model can produce better forecasting performance compared to the existing ones, by almost 3.37–5.94%. © 2022 by the authors.","2022","2024-01-24 11:17:47","2024-01-24 11:17:47","","","","24","14","","Sustainability","","","","","","","","English","","","Scopus","","","","Publisher: MDPI","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Não se aplica</p> <p><strong>#desc_technique</strong></p> <p>O artigo propõe um modelo de conjunto inovador que compreende um bloco densamente residual (DRB), camadas bidirecionais de memória de longo prazo (Bi-LSTM) baseadas no mecanismo de atenção e pensamento de conjunto</p> <p><strong>#eligible</strong></p> <p>E1</p> <p><strong>#FIM</strong></p> </div>","","","artificial neural network; attention mechanism; bidirectional long short-term memory; ensemble forecasting; ensemble thinking; forecasting method; short-term load forecasting; smart grid; sustainable development; unshared convolutional neural network; urban development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6FIUQEE","journalArticle","2023","Jegajothi, B.; Arumugam, S.; Shukla, N.K.; Kathir, I.; Yamunaa, P.; Digra, M.","An Efficient MPPT Tracking in Solar PV System with Smart Grid Enhancement Using CMCMAC Protocol","Computer Systems Science and Engineering","","02676192 (ISSN)","10.32604/csse.2023.038074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169668891&doi=10.32604%2fcsse.2023.038074&partnerID=40&md5=ceb687734dc032136c1632694a4e43a1","Renewable energy sources like solar, wind, and hydro are becoming increasingly popular due to the fewer negative impacts they have on the environment. Because, Since the production of renewable energy sources is still in the process of being created, photovoltaic (PV) systems are commonly utilized for installation situations that are acceptable, clean, and simple. This study presents an adaptive artificial intelligence approach that can be used for maximum power point tracking (MPPT) in solar systems with the help of an embedded controller. The adaptive method incorporates both the Whale Optimization Algorithm (WOA) and the Artificial Neural Network (ANN). The WOA was implemented to enhance the process of the ANN model's training, and the ANN model was developed using the WOA. In addition to this, the inverter circuit is connected to the smart grid system, and the strengthening of the smart grid is achieved through the implementation of the CMCMAC protocol. This protocol prevents interference between customers and the organizations that provide their utilities. Using a protocol known as Cross-Layer Multi-Channel MAC (CMCMAC), the effect of interference is removed using the way that was suggested. Also, with the utilization of the ZIGBEE communication technology, bidirectional communication is made possible. The strategy that was suggested has been put into practice, and the results have shown that the PV system produces an output power of 73.32KWand an efficiency of 98.72%. In addition to this, a built-in regulator is utilized to validate the proposed model. In this paper, the results of various experiments are analyzed, and a comparison is made between the suggested WOA with the ANN controller approach and others, such as the Particle Swarm Optimization (PSO) based MPPT and the Cuckoo Search (CS) based MPPT. By examining the comparison findings, it was determined that the adaptive AI-based embedded controller was superior to the other alternatives. © 2023 CRL Publishing. All rights reserved.","2023","2024-01-24 11:17:47","2024-01-24 11:17:47","","2417-2437","","2","47","","Comput Syst Sci Eng","","","","","","","","English","","","Scopus","","","","Publisher: Tech Science Press","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Rede Neural Artificial</p> <p><strong>#desc_technique</strong></p> <p>O estudo apresenta uma abordagem de inteligência artificial adaptativa que pode ser usada para rastreamento de ponto de máxima potência (MPPT) em sistemas solares com a ajuda de um controlador embarcado. O método adaptativo incorpora o Algoritmo de Otimização de Baleias (WOA) e a Rede Neural Artificial (RNA). </p> <p><strong>#eligible</strong></p> <p>I1</p> <p><strong>#FIM</strong></p> </div>","","","Electric power system control; Smart power grids; Renewable energy resources; Smart grid; Adaptive control systems; Artificial Neural Network (ANN) algorithm; Artificial neural network algorithm; CMCMAC protocol; Controllers; Cross layer; Cross-layer multi-channel MAC protocol; DC-DC converters; DC/DC converter; Embedded systems; Hydroelectric power plants; Maximum Power Point Tracking; Maximum power point tracking controller; MPPT controller; Multi-channel MAC protocols; Natural resources; Neural networks; Smart Grid (SG); Tracking controller; Zigbee; ZIGBEE communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6L6I38KG","journalArticle","2022","Ullah, K.; Khan, T.A.; Hafeez, G.; Khan, I.; Murawwat, S.; Alamri, B.; Ali, F.; Ali, S.; Khan, S.","Demand Side Management Strategy for Multi-Objective Day-Ahead Scheduling Considering Wind Energy in Smart Grid","Energies","","19961073 (ISSN)","10.3390/en15196900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139944056&doi=10.3390%2fen15196900&partnerID=40&md5=3887fe68a3e22e09f7e35f88784cfbda","Distributed energy resources (DERs) and demand side management (DSM) strategy implementation in smart grids (SGs) lead to environmental and economic benefits. In this paper, a new DSM strategy is proposed for the day-ahead scheduling problem in SGs with a high penetration of wind energy to optimize the tri-objective problem in SGs: operating cost and pollution emission minimization, the minimization of the cost associated with load curtailment, and the minimization of the deviation between wind turbine (WT) output power and demand. Due to climatic conditions, the nature of the wind energy source is uncertain, and its prediction for day-ahead scheduling is challenging. Monte Carlo simulation (MCS) was used to predict wind energy before integrating with the SG. The DSM strategy used in this study consists of real-time pricing and incentives, which is a hybrid demand response program (H-DRP). To solve the proposed tri-objective SG scheduling problem, an optimization technique, the multi-objective genetic algorithm (MOGA), is proposed, which results in non-dominated solutions in the feasible search area. Besides, the decision-making mechanism (DMM) was applied to find the optimal solution amongst the non-dominated solutions in the feasible search area. The proposed scheduling model successfully optimizes the objective functions. For the simulation, MATLAB 2021a was used. For the validation of this model, it was tested on the SG using multiple balancing constraints for power balance at the consumer end. © 2022 by the authors.","2022","2024-01-24 11:17:48","2024-01-24 11:17:48","","","","19","15","","Energies","","","","","","","","English","","","Scopus","","","","Publisher: MDPI","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Não se aplica</p> <p><strong>#desc_technique</strong></p> <p>O artigo propõe uma nova estratégia de gestão do lado da procura para o problema de programação do dia seguinte em SGs com alta penetração de energia eólica para otimizar o problema tri-objetivo em SGs: minimização de custos operacionais e emissões de poluição, a minimização do custo associado com redução de carga e minimização do desvio entre a potência de saída da turbina eólica (WT) e a demanda. A simulação de Monte Carlo (MCS) foi usada para prever a energia eólica antes da integração com o SG.</p> <p><strong>#eligible</strong></p> <p>E1</p> <p><strong>#FIM</strong></p> </div>","","","Renewable energy source; Smart power grids; Smart grid; Intelligent systems; Monte Carlo methods; smart grid; Day-ahead scheduling; Decision making; Demand response programs; Demand side management; Economics; Electric power transmission networks; Electric utilities; Genetic algorithms; Hybrid demand response program; hybrid demand response programs; Management strategies; MATLAB; Minimisation; multi-objective genetic algorithm; Multi-objectives genetic algorithms; Nondominated solutions; renewable energy sources; Scheduling; Scheduling problem; Wind power","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EYFL3I8","journalArticle","2022","Ashtari, B.; Alizadeh Bidgoli, M.; Babaei, M.; Ahmarinejad, A.","A two-stage energy management framework for optimal scheduling of multi-microgrids with generation and demand forecasting","Neural Computing and Applications","","09410643 (ISSN)","10.1007/s00521-022-07103-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126135896&doi=10.1007%2fs00521-022-07103-w&partnerID=40&md5=434c84dd8c5b164a757e9e1bbc632693","With the increasing impact of renewable energy sources in distribution power systems, the short-term scheduling of microgrids is facing many uncertainties. The supply of microgrids' consumers, on the one hand, and the optimal participation of microgrids in the market the next day, on the other hand, are faced with many challenges for microgrid operators. Therefore, this paper presents a two-level framework for day-ahead energy management of microgrids in the presence of wind turbines, solar panels, and electrical energy storage (EES) systems. In the former level, each microgrid predicts the load demand of its consumers, wind speed, and solar irradiance using historical data. In the latter one, the day-ahead scheduling of the microgrids and the power exchange rate are accomplished based on a game strategy. To predict the uncertain parameters, a stochastic method and three different artificial neural networks (ANN) based techniques are used and compared, which ANN-based methods are as follows; 1- conventional ANN (CANN) with single hidden layer, 2- long short-term memory based on deep learning neural network (DLNN), and 3- a hybrid DLNN combined by the water cycle metaheuristic algorithm (HDLNN-WCMA). The simulation results implemented on a modified 33-bus distribution power grid show that the HDLNN-WCMA compared to the CANN method have a more accurate prediction, resulting in a 2.67% reduction in operating costs. The results also show that applying the game theory method are led to a fairly dividing market power. In addition, the study of the impact of EES system on the operation of microgrids showed that the absence of EES system causes a loss of about 5970 kW of wind turbine output power and also a 10.41% increase in operating costs. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","2022","2024-01-24 11:17:48","2024-01-24 11:19:28","","12159-12173","","14","34","","Neural Comput. Appl.","","","","","","","","English","","","Scopus","","","","Publisher: Springer Science and Business Media Deutschland GmbH","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Rede Neural Artificial</p> <p><strong>#desc_technique</strong></p> <p>O artigo apresenta uma estrutura de dois níveis para o gerenciamento diário de energia de microrredes na presença de turbinas eólicas, painéis solares e sistemas de armazenamento de energia elétrica abeado em rede neural artificial.</p> <p><strong>#eligible</strong></p> <p>I1</p> <p><strong>#FIM</strong></p> </div>","","","Microgrid; Digital storage; Energy management; Renewable energy resources; Game theory; Optimization; Operating costs; Electric power transmission networks; Scheduling; ANN-based prediction; Artificial neural network-based prediction; Commerce; Day-ahead; Day-ahead energy management, microgrid; Deep neural networks; Electrical energy storage systems; Forecasting; Game approach; Learning neural networks; Meta-heuristics algorithms; Network-based; Stochastic systems; Uncertainty analysis; Water cycle; Wind; Wind turbines; microgrid; SYSTEM; OPTIMIZATION; ARTIFICIAL NEURAL-NETWORK; ALGORITHM; Day-ahead energy management; EXPERIMENTAL VALIDATION; STRATEGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84HURALN","journalArticle","2023","Panda, C.K.; Panda, C.","Intelligent Grid Management for Power and Energy Supply and Distribution","International Journal of Intelligent Systems and Applications in Engineering","","21476799 (ISSN)","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174807139&partnerID=40&md5=45d582ba3db7a360a1f04f768fb65d8b","Modern electrical systems' efficient and reliable distribution of power and energy depend heavily on intelligent grid management. To optimize grid operations, enhanced control and management systems are needed given the increased integration of renewable energy sources and the rising demand for sustainable energy options. In order to effectively monitor, regulate, and optimize power and energy systems, this article suggests an intelligent grid management strategy that integrates smart grid technology, cuttingedge analytics, and control algorithms. The suggested intelligent grid management system makes use of real-time data collection from smart metres, sensors, and other grid equipment to facilitate situational awareness and decision-making. In order to analyze the gathered data and extract insights for grid operation and planning, advanced analytics techniques, including as machine learning and optimization algorithms, are utilized. Utilizingthis information will improve power production, load scheduling, energy storage use, and system stability. In order to encourage energy users to modify their energy consumption habits in response to price signals and grid circumstances, the intelligent grid management system also integrates demand response methods. Demand-side management promotes grid stability and resilience by balancing supply and demand, lowering peak loads. In addition, the suggested approach incorporates distributed energy resources (DERs) into the grid management procedure, including solar panels, wind turbines, and energy storage devices. To maximize their impact on grid performance overall and improve grid resiliency during emergencies, these DERs are coordinated and controlled in a decentralized way. Case studies and simulation results provide as proof of the efficacy of the intelligent grid management strategy. The grid efficiency, energy costs, grid reliability, and integration of renewable energy sources are all improved by the system. © 2023, Ismail Saritas. All rights reserved.","2023","2024-01-24 11:17:48","2024-01-24 11:17:48","","238-245","","3","11","","Internat. J. Intel. Syst. Appl. Eng.","","","","","","","","English","","","Scopus","","","","Publisher: Ismail Saritas","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Não se aplica</p> <p><strong>#desc_technique</strong></p> <p>O artigo sugere uma estratégia de gestão de rede inteligente que integra tecnologia de rede inteligente, análises de ponta e algoritmos de controlo. Para analisar os dados coletados e extrair insights para a operação e planejamento da rede, são utilizadas técnicas analíticas avançadas, inclusive algoritmos de aprendizado de máquina e otimização.</p> <p><strong>#eligible</strong></p> <p>E1</p> <p><strong>#FIM</strong></p> </div>","","","Intelligent grid management; Power and energy distribution; Power and energy supply; Smart grid technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIQXU3TK","journalArticle","2023","Lopez, O.L.A.; Rosabal, O.M.; Ruiz-Guirola, D.E.; Raghuwanshi, P.; Mikhaylov, K.; Loven, L.; Iyer, S.","Energy-Sustainable IoT Connectivity: Vision, Technological Enablers, Challenges, and Future Directions","IEEE Open Journal of the Communications Society","","2644125X (ISSN)","10.1109/OJCOMS.2023.3323832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174810415&doi=10.1109%2fOJCOMS.2023.3323832&partnerID=40&md5=1fdadb3a868f9358428f0b7d814fcef0","Technology solutions must effectively balance economic growth, social equity, and environmental integrity to achieve a sustainable society. Notably, although the Internet of Things (IoT) paradigm constitutes a key sustainability enabler, critical issues such as the increasing maintenance operations, energy consumption, and manufacturing/disposal of IoT devices have long-term negative economic, societal, and environmental impacts and must be efficiently addressed. This calls for self-sustainable IoT ecosystems requiring minimal external resources and intervention, effectively utilizing renewable energy sources, and recycling materials whenever possible, thus encompassing energy sustainability. In this work, we focus on energy-sustainable IoT during the operation phase, although our discussions sometimes extend to other sustainability aspects and IoT lifecycle phases. Specifically, we provide a fresh look at energy-sustainable IoT and identify energy provision, transfer, and energy efficiency as the three main energy-related processes whose harmonious coexistence pushes toward realizing self-sustainable IoT systems. Their main related technologies, recent advances, challenges, and research directions are also discussed. Moreover, we overview relevant performance metrics to assess the energy-sustainability potential of a certain technique, technology, device, or network, together with target values for the next generation of wireless systems, and discuss protocol, integration, and implementation issues. Overall, this paper offers insights that are valuable for advancing sustainability goals for present and future generations.  © 2020 IEEE.","2023","2024-01-24 11:17:48","2024-01-24 11:17:48","","2609-2666","","","4","","IEEE open J. Commun. Soc.","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","<div data-schema-version=""8""><p><strong>#RSL</strong></p> <p><strong>#technique_used</strong></p> <p>Não se aplica</p> <p><strong>#desc_technique</strong></p> <p>O trabalho foca na IoT energeticamente sustentável durante a fase de operação, embora nossas discussões às vezes se estendam a outros aspectos de sustentabilidade e fases do ciclo de vida da IoT. No geral, este artigo oferece insights valiosos para o avanço das metas de sustentabilidade para as gerações presentes e futuras.</p> <p><strong>#eligible</strong></p> <p>E1</p> <p><strong>#FIM</strong></p> </div>","","","Learning systems; Smart power grids; Energy efficiency; machine learning; Machine-learning; Renewable energy resources; Smart grid; Economics; Economic and social effects; energy harvesting; Energy harvesting; energy sustainability; Energy sustainability; energy transfer; Energy transfer; Energy utilization; Energy-transfer; Engineering education; Environmental impact; Environmental technology; Green products; Green wireless; green wireless communication; Green wireless communication; Internet of things; IoT; Self-sustainable; Sustainable development; Wireless communications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
